SOC (%), Capacity (mAh), Current (A), Voltage (V), Time
2.04767,0.00204767,0.0237891,3.21678,00:13:12
2.01349,0.00201349,0.0246094,3.2135,00:13:12
1.98045,0.00198045,0.0237891,3.21031,00:13:12
1.94741,0.00194741,0.0237891,3.20711,00:13:12
1.91551,0.00191551,0.0229687,3.20401,00:13:12
1.88361,0.00188361,0.0229687,3.20089,00:13:12
1.85171,0.00185171,0.0229687,3.19776,00:13:12
1.82094,0.00182094,0.0221484,3.19472,00:13:12
1.79018,0.00179018,0.0221484,3.19167,00:13:13
1.75828,0.00175828,0.0229687,3.1885,00:13:13
1.72752,0.00172752,0.0221484,3.18543,00:13:13
1.69676,0.00169676,0.0221484,3.18235,00:13:13
1.66714,0.00166714,0.0213281,3.17937,00:13:13
1.63751,0.00163751,0.0213281,3.17637,00:13:13
1.60789,0.00160789,0.0213281,3.17337,00:13:13
1.57941,0.00157941,0.0205078,3.17048,00:13:13
1.55093,0.00155093,0.0205078,3.16757,00:13:13
1.5213,0.0015213,0.0213281,3.16454,00:13:13
1.49282,0.00149282,0.0205078,3.16161,00:13:13
1.46548,0.00146548,0.0196875,3.1588,00:13:13
1.43813,0.00143813,0.0196875,3.15598,00:13:13
1.41193,0.00141193,0.0188672,3.15326,00:13:13
1.38572,0.00138572,0.0188672,3.15054,00:13:13
