SOC (%), Capacity (mAh), Current (A), Voltage (V), Time
2.08525,0.00208525,0.0237891,3.22036,24.5499
2.05221,0.00205221,0.0237891,3.21721,24.5999
2.01917,0.00201917,0.0237891,3.21404,24.6499
1.98612,0.00198613,0.0237891,3.21086,24.6999
1.95422,0.00195422,0.0229687,3.20777,24.7499
1.92232,0.00192232,0.0229687,3.20467,24.7999
1.88928,0.00188928,0.0237891,3.20145,24.8499
1.85738,0.00185738,0.0229687,3.19831,24.8999
1.82662,0.00182662,0.0221484,3.19528,24.9499
1.79472,0.00179472,0.0229687,3.19213,24.9999
1.76396,0.00176396,0.0221484,3.18907,25.0499
1.73433,0.00173433,0.0213281,3.18611,25.0999
1.70471,0.00170471,0.0213281,3.18314,25.1499
1.67623,0.00167623,0.0205078,3.18028,25.1999
1.64775,0.00164775,0.0205078,3.17741,25.2499
1.61926,0.00161926,0.0205078,3.17453,25.2999
1.59192,0.00159192,0.0196875,3.17175,25.3499
1.56344,0.00156344,0.0205078,3.16885,25.3999
1.53609,0.00153609,0.0196875,3.16605,25.4499
1.50875,0.00150875,0.0196875,3.16325,25.4999
1.4814,0.0014814,0.0196875,3.16044,25.5499
1.4552,0.0014552,0.0188672,3.15774,25.5999
1.429,0.001429,0.0188672,3.15503,25.6499
1.40279,0.00140279,0.0188672,3.15231,25.6999
1.37773,0.00137773,0.0180469,3.14971,25.7499
1.35266,0.00135266,0.0180469,3.1471,25.7999
1.3276,0.0013276,0.0180469,3.14448,25.8499
1.30367,0.00130367,0.0172266,3.14198,25.8999
1.27747,0.00127747,0.0188672,3.13923,25.9499
1.25354,0.00125354,0.0172266,3.13671,25.9999
1.22961,0.00122961,0.0172266,3.13419,26.0499
1.20569,0.00120569,0.0172266,3.13167,26.0999
1.18176,0.00118176,0.0172266,3.12914,26.1499
1.15784,0.00115784,0.0172266,3.1266,26.1999
1.13505,0.00113505,0.0164062,3.12418,26.2499
1.11226,0.00111226,0.0164062,3.12176,26.2999
1.08948,0.00108948,0.0164062,3.11933,26.3499
1.06669,0.00106669,0.0164062,3.1169,26.3999
1.04618,0.00104618,0.0147656,3.11471,26.4499
1.0234,0.0010234,0.0164062,3.11227,26.4999
1.00061,0.00100061,0.0164062,3.10983,26.5499
0.978964,0.000978964,0.0155859,3.1075,26.5999
0.957316,0.000957316,0.0155859,3.10517,26.6499
0.935669,0.000935669,0.0155859,3.10284,26.6999
0.914022,0.000914022,0.0155859,3.10051,26.7499
0.892375,0.000892375,0.0155859,3.09817,26.7999
0.870728,0.000870728,0.0155859,3.09583,26.8499
0.849081,0.000849081,0.0155859,3.09348,26.8999
0.827434,0.000827434,0.0155859,3.09114,26.9499
0.805786,0.000805786,0.0155859,3.08879,26.9999
0.784139,0.000784139,0.0155859,3.08644,27.0499
0.762492,0.000762492,0.0155859,3.08408,27.0999
0.740845,0.000740845,0.0155859,3.08172,27.1499
0.720337,0.000720337,0.0147656,3.07949,27.1999
0.69869,0.00069869,0.0155859,3.07712,27.2499
